Merchant,Status,Sales,Sales Amount (€),Commissions (€),EPC (€),Clicks,Approved At,Category,Commission,Cookie,Key Notes/Restrictions
obio.ro,Approved,0,0.0,0.0,0,0,02.11.2025,BIO / Organic Store,,,">95% BIO portfolio; broad family categories (food, cosmetics, detergents, books, wellness devices)."
organicsfood.ro,Approved,0,0.0,0.0,0,0,03.11.2025,BIO / Naturist Store,9%,60 days,AOV ~147 RON; real‑time stock; free shipping >199 RON or Easybox; loyalty programme; fast approvals.
otter.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Footwear / Fashion,10% full price; 5% discounted,,Large branded selection; frequent promos; feed updated daily; mobile‑first audience ~78%. | JSON listed 10–12%; merchant terms show 10% full-price / 5% discounted — keep merchant terms.
pansiprod.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Medical / Health,10%,,Nationwide logistics; free shipping ≥119 RON; medical‑grade products with certifications; strong B2B ties.
picadili.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Accessories / Fashion,10%,,24h delivery; free returns 30 days; free shipping >190 RON; loyalty points ~10%.
piese-biciclete.eu,Approved,0,0.0,0.0,0,0,03.11.2025,Cycling Parts,,,High operational automation (~80%); proactive order comms (ETA/AWB).
powerlaptop.ro (closing 30 Aug 2025),Approved,0,0.0,0.0,0,0,20.09.2024,Laptop Parts / Accessories,,,Program closes 30 Aug 2025 — stop using tools after this date.
scule365.ro,Approved,0,0.0,0.0,0,0,02.11.2025,Tools / DIY / Garden,7%,60 days,Fast commission approval (2–3 days post‑delivery); allows all promotion methods; INGCO ecosystem (360+ tools).
springfarma.com,Approved,0,0.0,0.0,0,0,15.10.2024,Pharma / Health & Beauty,15% own brands; 5.5% selected devices; 3.5% rest,,24–48h delivery; COD or online card; value focus 'Pret Mic'.
topstar.ro,Approved,0,0.0,0.0,0,0,06.08.2024,Beauty / Cosmetics (Multibrand),10%,90 days,Daily feed updates; free shipping >299 RON; female‑dominant audience.
vitamix.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Naturist / Supplements,8% base; up to 30% (see tiers),60 days,Tiered: 30% ProHerb; 25% slimming SKUs; 20% Adams; 12% springmarkt; 8% other. Free shipping >150 RON.
